"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.02,-0.105753599443187,0.0317742855871046,0.00245538884543016,0.761367408705663,0.00367367472814945,-0.138890270101898,0.773940782007359,0.0640241993562635,0,2777,24.532,-0.105753599443187,0.0317742855871046,0.00245538884543016
0.02,-0.10601325278033,0.0248678504298935,0.0155205723499295,0.648313259536997,0.000249471390304858,-0.251881684857854,0.695524642190549,0.0771776226812845,0,2777,24.532,-0.10601325278033,0.0248678504298935,0.0155205723499295
0.02,-0.106013694347506,0.0276051050481387,0.00632812201320486,0.647974551338148,-0.000101333596768502,-0.251265753788962,0.69498597718048,0.0640241993562635,0,2777,24.532,-0.106013694347506,0.0276051050481387,0.00632812201320486
0.02,-0.106013376435879,0.0243521359305922,0.00894679445463026,0.648059289188582,4.42131112605072e-05,-0.251678265585987,0.695214207008732,0.0640241993562635,0,2777,24.532,-0.106013376435879,0.0243521359305922,0.00894679445463026
0.02,-0.106007169264861,0.0261720703194885,0.0168676862811188,0.648701632983204,0.000744061118595263,-0.250163203951305,0.695266848679848,0.0771776226812845,0,2777,24.532,-0.106007169264861,0.0261720703194885,0.0168676862811188
0.02,-0.10600848580051,0.0301200317882372,0.00249417708079977,0.647844398344753,-0.0110233908162012,-0.182813678264218,0.673234521227376,0.0640241993562635,0,2777,24.532,-0.10600848580051,0.0301200317882372,0.00249417708079977
0.02,-0.105271568641232,0.0367544195584251,0.0013465957488473,0.739925162215349,0.0125520224461461,-0.0496576695733827,0.741695815745484,0.00369251480360383,0,2777,24.532,-0.105271568641232,0.0367544195584251,0.0013465957488473
0.02,-0.10601697948361,0.0293302147702192,0.0164760051665086,0.648374566035843,0.000186317399551755,-0.25130693223651,0.695373846780612,0.0771776226812845,0,2777,24.532,-0.10601697948361,0.0293302147702192,0.0164760051665086
0.02,-0.106003157539362,0.036853947862929,0.00575809748183611,0.649461741013557,-0.00119878910633522,-0.249001217514025,0.695559915793851,0.00369251480360383,0,2777,24.532,-0.106003157539362,0.036853947862929,0.00575809748183611
0.02,-0.106020094554185,0.0318811514614358,0.00835225052043801,0.648448836024804,-6.6867492748236e-05,-0.251081993280411,0.695361822911532,0.0771776226812845,0,2777,24.532,-0.106020094554185,0.0318811514614358,0.00835225052043801
0.02,-0.106004465812498,0.0305770810701461,0.00407074210745039,0.649215055692417,-0.00130287677936981,-0.249755934846887,0.695600397510563,0.0640241993562635,0,2777,24.532,-0.106004465812498,0.0305770810701461,0.00407074210745039
0.02,-0.105654136772952,0.0243909879297738,0.00164477623141505,0.743231465300008,0.0644789061039817,-0.124958561693388,0.756416011520673,0.0640241993562635,0,2777,24.532,-0.105654136772952,0.0243909879297738,0.00164477623141505
0.02,-0.106007914546359,0.0345251788149067,0.00693193572679973,0.649389485299168,-0.00125944390548669,-0.249008952055388,0.69549532566351,0.00369251480360383,0,2777,24.532,-0.106007914546359,0.0345251788149067,0.00693193572679973
0.02,-0.106029711749926,0.0272146855829732,0.0104872988313641,0.648259850556147,7.92700672886245e-05,-0.251489643662653,0.695332928169226,0.0771776226812845,0,2777,24.532,-0.106029711749926,0.0272146855829732,0.0104872988313641
0.02,-0.106028686754837,0.0344684332515126,0.0144833561874398,0.648395730568505,-0.000171054994932576,-0.249746505623945,0.694831180755907,0.0771776226812845,0,2777,24.532,-0.106028686754837,0.0344684332515126,0.0144833561874398
0.02,-0.106027507244153,0.0395612129334212,0.0114031575920384,0.648510093422307,-0.000549118829879829,-0.248060910274783,0.694334111223446,0.0719435763004484,0,2777,24.532,-0.106027507244153,0.0395612129334212,0.0114031575920384
0.02,-0.106035781344955,0.0389199733562406,0.0176263903543731,0.647999677509268,-0.000400523837210235,-0.24817568294095,0.693898344193633,0.0719435763004484,0,2777,24.532,-0.106035781344955,0.0389199733562406,0.0176263903543731
0.02,-0.105859940287305,0.0406845980143258,0.00204187668146333,0.731276708062892,-0.0679427153396983,-0.0756167299665061,0.738308693009814,0.216660310144849,0,2777,24.532,-0.105859940287305,0.0406845980143258,0.00204187668146333
0.02,-0.107038084687902,0.0318072779578462,0.000499679185104749,0.578680925945024,-0.0129448177318532,-0.0197489074480827,0.579162500257133,0.0640241993562635,0,2777,24.532,-0.107038084687902,0.0318072779578462,0.000499679185104749
0.02,-0.10603501972617,0.0225620639261544,0.0119093172779015,0.648092878908424,0.000203548180581225,-0.251926176536184,0.695335328850629,0.0640241993562635,0,2777,24.532,-0.10603501972617,0.0225620639261544,0.0119093172779015
0.02,-0.105902789634955,0.0340998373652234,0.00223221033455485,0.678068943007017,-0.0374830150869678,-0.191366256362226,0.705551920105641,0.00369251480360383,0,2777,24.532,-0.105902789634955,0.0340998373652234,0.00223221033455485
0.02,-0.106020853833638,0.0330611385014756,0.00569264339764919,0.649299367871099,-0.00131307476389637,-0.249090759500143,0.695440579597928,0.00369251480360383,0,2777,24.532,-0.106020853833638,0.0330611385014756,0.00569264339764919
0.02,-0.10602110814586,0.0320811415151244,0.00660388528582339,0.649287281843144,-0.00134022920777674,-0.249091121668857,0.695429476993776,0.00369251480360383,0,2777,24.532,-0.10602110814586,0.0320811415151244,0.00660388528582339
0.02,-0.106042569880213,0.030180416398398,0.0130680724123655,0.648201061322735,8.49553031635159e-05,-0.250957667838033,0.695085875388091,0.0771776226812845,0,2777,24.532,-0.106042569880213,0.030180416398398,0.0130680724123655
0.02,-0.106039571593717,0.0402128312872395,0.00944740799176137,0.648295634665186,-0.000544362764389774,-0.248061262420542,0.694133932444185,0.00369251480360383,0,2777,24.532,-0.106039571593717,0.0402128312872395,0.00944740799176137
0.02,-0.106426022818858,0.0352385236812953,0.00050716219386941,0.648617609368588,-0.0340196122093524,-0.00631432393798562,0.64953984318492,0.00369251480360383,0,2777,24.532,-0.106426022818858,0.0352385236812953,0.00050716219386941
0.02,-0.105778307969877,0.0387033773151437,0.000556637287755615,0.612821993662074,-0.067691812756807,0.0629681599021465,0.619756376806019,0.216660310144849,0,2777,24.532,-0.105778307969877,0.0387033773151437,0.000556637287755615
0.02,-0.10603088032088,0.0310786398430392,0.00614550737831878,0.649131201328869,-0.00123676416916218,-0.249299063190896,0.695358086910715,0.00369251480360383,0,2777,24.532,-0.10603088032088,0.0310786398430392,0.00614550737831878
0.02,-0.106044875453795,0.0376831340873232,0.0111482628002223,0.648179338450873,-0.00049201320811632,-0.24835150310978,0.694129070107639,0.00369251480360383,0,2777,24.532,-0.106044875453795,0.0376831340873232,0.0111482628002223
0.02,-0.106050493106109,0.0360099295979427,0.0135237934929123,0.648160877884235,-0.000447258955132308,-0.248615069420866,0.694206148347433,0.0719435763004484,0,2777,24.532,-0.106050493106109,0.0360099295979427,0.0135237934929123
0.02,-0.107130167956386,0.0263319628237467,0.000500439497042102,0.584192674901457,-0.00646195973372765,0.00777162253496714,0.584280101020859,0.0640241993562635,0,2777,24.532,-0.107130167956386,0.0263319628237467,0.000500439497042102
