"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.26,-0.039841329102137,0.0321094987128034,0.00137000577846656,1.19637145020781,0.0157564157249943,-0.0318860784666335,1.19690000982071,0.0974916586319653,0,14313,391.49699999999,-0.039841329102137,0.0321094987128034,0.00137000577846656
0.26,-0.0397740436838985,0.0233024532830547,0.000591020831530203,0.948703112537918,0.028348804884171,0.0204054752646763,0.94934589792039,0.0200711016055295,0,14313,391.49699999999,-0.0397740436838985,0.0233024532830547,0.000591020831530203
0.26,-0.0444514494658756,0.0241651083444901,0.00130793715587681,1.11540116558324,0.0259897041449539,0.0707851265342411,1.11794711817888,0.0200711016055295,0,14313,391.49699999999,-0.0444514494658756,0.0241651083444901,0.00130793715587681
0.26,-0.0390283127853085,0.0382687267461444,0.00105921306507204,1.19691247512002,0.0472517829625935,-0.0342639856932993,1.19833477159209,0.0974916586319653,0,14313,391.49699999999,-0.0390283127853085,0.0382687267461444,0.00105921306507204
0.26,-0.0360631970294103,0.026902560820805,0.000759792735627944,1.18353815911618,-0.0329724549944609,0.0228166074107258,1.18421719057199,0.0200711016055295,0,14313,391.49699999999,-0.0360631970294103,0.026902560820805,0.000759792735627944
0.26,-0.0412609149179945,0.0243966790293331,0.000579087909994261,1.11935417744501,-0.0541949938568063,-0.0895218003490955,1.12423530662423,0.0200711016055295,0,14313,391.49699999999,-0.0412609149179945,0.0243966790293331,0.000579087909994261
0.26,-0.0464590874600949,0.0364059749527581,0.000503748278289876,0.876456495232524,-0.0560615510993617,0.00701082869686943,0.878275604389626,0.0974916586319653,0,14313,391.49699999999,-0.0464590874600949,0.0364059749527581,0.000503748278289876
0.26,-0.0376667224058726,0.0278286481025299,0.00246951799244235,1.28125058763922,0.0297105056382079,0.0704034569063043,1.2835273387098,0.0200711016055295,0,14313,391.49699999999,-0.0376667224058726,0.0278286481025299,0.00246951799244235
0.26,-0.0471426846885522,0.0413522070848583,0.000499890648687434,0.807468783671549,0.000915866077164318,0.000955583350971551,0.807469868511651,0.0974916586319653,0,14313,391.49699999999,-0.0471426846885522,0.0413522070848583,0.000499890648687434
0.26,-0.0399600893928775,0.0282969394777362,0.0028135183184573,1.16665184029453,-0.104610507541964,0.0259014740597684,1.17161886341475,0.0200711016055295,0,14313,391.49699999999,-0.0399600893928775,0.0282969394777362,0.0028135183184573
0.26,-0.0430639808448632,0.0367587373812492,0.000520679292309562,1.03842247649484,-0.067693093388344,-0.00914425171892079,1.04066671510222,0.0974916586319653,0,14313,391.49699999999,-0.0430639808448632,0.0367587373812492,0.000520679292309562
0.26,-0.0398903078197806,0.0336513695214448,0.00194343847569305,1.19795290216364,0.0671739661688203,-0.103028720343469,1.20425014625233,0.0974916586319653,0,14313,391.49699999999,-0.0398903078197806,0.0336513695214448,0.00194343847569305
