"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.28,-0.0317188722135371,0.0320479962875365,0.00121713399029809,1.19729759609954,-0.0350474205779419,-0.0118972177544318,1.19786952507575,0.0298917470339754,0,15406,456.198999999988,-0.0317188722135371,0.0320479962875365,0.00121713399029809
0.28,-0.0331562209638125,0.0234807868634471,0.000512787929356562,1.0254702268477,-0.0141918316973458,0.0208049538481369,1.02577943064901,0.0298917470339754,0,15406,456.198999999988,-0.0331562209638125,0.0234807868634471,0.000512787929356562
0.28,-0.036842053436699,0.0240622701282646,0.00125062175796984,1.10202772243363,-0.0560196971739184,-0.0492045171798198,1.10454714340068,0.0298917470339754,0,15406,456.198999999988,-0.036842053436699,0.0240622701282646,0.00125062175796984
0.28,-0.0309597006149221,0.038600344366264,0.000939433792259513,1.19864078579123,0.0493920342679519,-0.0292740291216932,1.2000151145683,0.107464340514834,0,15406,456.198999999988,-0.0309597006149221,0.038600344366264,0.000939433792259513
0.28,-0.0279175741932472,0.0266795316338047,0.000737121110682704,1.21777634379796,-0.0327779578488387,-0.0294737316371902,1.21857388733358,0.0298917470339754,0,15406,456.198999999988,-0.0279175741932472,0.0266795316338047,0.000737121110682704
0.28,-0.0339633633315462,0.0241005753491436,0.000725760763029928,1.01384972501018,0.0149327609619815,0.0960964999517414,1.01850321038087,0.0298917470339754,0,15406,456.198999999988,-0.0339633633315462,0.0241005753491436,0.000725760763029928
0.28,-0.0404171653932303,0.036136682431227,0.000504093220791842,0.903074613321329,0.0254388737294677,0.010049182478877,0.903488726875209,0.107464340514834,0,15406,456.198999999988,-0.0404171653932303,0.036136682431227,0.000504093220791842
0.28,-0.0288626008899008,0.0280289574721736,0.00276831184650058,1.3141903129645,0.0293397171311481,0.0177141113801599,1.31463713146748,0.0298917470339754,0,15406,456.198999999988,-0.0288626008899008,0.0280289574721736,0.00276831184650058
0.28,-0.0416575447772061,0.0413467273838693,0.000504544355801523,0.802164114489891,-0.0175989730545491,0.0142777768896004,0.802484171395819,0.107464340514834,0,15406,456.198999999988,-0.0416575447772061,0.0413467273838693,0.000504544355801523
0.28,-0.0319283789150364,0.0275900065980625,0.00281180644442968,1.20108170435887,-0.103794756428967,-0.0263793046458415,1.20584678948918,0.0298917470339754,0,15406,456.198999999988,-0.0319283789150364,0.0275900065980625,0.00281180644442968
