"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.14,-0.0843296915000332,0.032760256916833,0.00360555849452996,0.977273702707513,0.000793607949424439,-0.277010241255522,1.01577516881329,0.0346256240406524,0,7683,114.621,-0.0843296915000332,0.032760256916833,0.00360555849452996
0.14,-0.082202112760288,0.0254046865849195,0.000978243889826893,1.04960025131271,-0.0618112461649058,-0.0978071296097834,1.05595812052878,0.0881249057263807,0,7683,114.621,-0.082202112760288,0.0254046865849195,0.000978243889826893
0.14,-0.0853334828718459,0.0248797989435166,0.00553481648894739,0.807661907213358,0.00201885130077524,-0.302401147916385,0.86242001738436,0.0881249057263807,0,7683,114.621,-0.0853334828718459,0.0248797989435166,0.00553481648894739
0.14,-0.0838738917344398,0.0387372371814028,0.0020747651849547,0.900069224686455,-0.0221846177978365,-0.046901674774354,0.901563383013724,0.0346256240406524,0,7683,114.621,-0.0838738917344398,0.0387372371814028,0.0020747651849547
0.14,-0.0832112465150951,0.0270766468060334,0.0030432981411384,1.05479314176682,-0.0118183726360236,0.0135062687604272,1.05494581147371,0.0881249057263807,0,7683,114.621,-0.0832112465150951,0.0270766468060334,0.0030432981411384
0.14,-0.0848493448290492,0.0247706889753904,0.0038611840070525,1.04369822187869,-0.050376347516089,-0.206640110081955,1.06514970301666,0.0881249057263807,0,7683,114.621,-0.0848493448290492,0.0247706889753904,0.0038611840070525
0.14,-0.0835802110830259,0.0369958207724909,0.000511521804833053,0.891878186111479,-0.0429218078311127,-0.00124297448621917,0.892911264031632,0.0346256240406524,0,7683,114.621,-0.0835802110830259,0.0369958207724909,0.000511521804833053
0.14,-0.0832279861798919,0.0273337355690336,0.00208306707759356,0.924857908863449,0.00763173877611876,-0.0802528038497934,0.928364641479721,0.0881249057263807,0,7683,114.621,-0.0832279861798919,0.0273337355690336,0.00208306707759356
0.14,-0.0836683022151547,0.0413281778424617,0.00241998169724899,0.916300563186844,0.0233021641066601,-0.000137813211496777,0.916596820822035,0.0346256240406524,0,7683,114.621,-0.0836683022151547,0.0413281778424617,0.00241998169724899
0.14,-0.0853388353307809,0.0291856960483881,0.00684754142369758,0.815269105386455,0.000263699295900175,-0.458614319610271,0.935409470706033,0.0346256240406524,0,7683,114.621,-0.0853388353307809,0.0291856960483881,0.00684754142369758
0.14,-0.0817056271323349,0.0371319107346467,0.000605486457137363,0.983189477521539,0.0564240534896586,-0.123652582970624,0.992539764340244,0.0346256240406524,0,7683,114.621,-0.0817056271323349,0.0371319107346467,0.000605486457137363
0.14,-0.0852921574288039,0.0343624816451861,0.0048925549329104,0.822813334300128,-0.0112594765822286,-0.335541752232065,0.888671382686516,0.0346256240406524,0,7683,114.621,-0.0852921574288039,0.0343624816451861,0.0048925549329104
0.14,-0.0851399791917648,0.0357877307732955,0.00455972770697206,0.898858905518445,0.0763139348147385,-0.245355955181904,0.934863997285139,0.0346256240406524,0,7683,114.621,-0.0851399791917648,0.0357877307732955,0.00455972770697206
0.14,-0.0853547711165615,0.0398739936016757,0.00653529943633759,0.814919213327112,-0.000261753870801666,-0.456019163633806,0.93383449838076,0.0346256240406524,0,7683,114.621,-0.0853547711165615,0.0398739936016757,0.00653529943633759
0.14,-0.0849516399545291,0.0359270461459063,0.00553431053525098,0.929139408242445,0.080102530700445,-0.231468310721951,0.96088190442021,0.0346256240406524,0,7683,114.621,-0.0849516399545291,0.0359270461459063,0.00553431053525098
0.14,-0.0818957494657482,0.0348376442787027,0.00117456673130456,0.971734194711329,0.0285002416183244,-0.0922436263757887,0.976518558733286,0.0346256240406524,0,7683,114.621,-0.0818957494657482,0.0348376442787027,0.00117456673130456
0.14,-0.083205651092429,0.0387455482769374,0.00101378020135692,0.926269188193254,0.046325324532762,-0.0123117305354172,0.927508610956271,0.0346256240406524,0,7683,114.621,-0.083205651092429,0.0387455482769374,0.00101378020135692
0.14,-0.0836987773503902,0.0335835748225549,0.00366903551803595,1.01817751693514,-0.11420359105158,-0.0856507098962979,1.02813615844743,0.0346256240406524,0,7683,114.621,-0.0836987773503902,0.0335835748225549,0.00366903551803595
0.14,-0.0851315809639267,0.0393794253493364,0.00439709470183619,0.839674284387565,0.0283043198995966,-0.19002458510756,0.86137296296787,0.0346256240406524,0,7683,114.621,-0.0851315809639267,0.0393794253493364,0.00439709470183619
0.14,-0.0853590718249694,0.0317098311123996,0.00826984367203264,0.815284979066072,0.000851797111485812,-0.457295290913032,0.934777677172662,0.0346256240406524,0,7683,114.621,-0.0853590718249694,0.0317098311123996,0.00826984367203264
0.14,-0.0842707280352456,0.0278675118938163,0.00357034221818428,0.892175927599241,-0.0934537426531753,-0.0841671089686059,0.90099699779499,0.0881249057263807,0,7683,114.621,-0.0842707280352456,0.0278675118938163,0.00357034221818428
0.14,-0.0849749819966796,0.0264542072068831,0.00447593710850397,0.923237819753783,-0.0109729496436916,-0.249441257147788,0.956404421892262,0.0881249057263807,0,7683,114.621,-0.0849749819966796,0.0264542072068831,0.00447593710850397
0.14,-0.0876404231947279,0.0259005063836146,0.000499615170250142,0.697358593509778,0.0333275132772993,-0.000288558249602836,0.698154577689674,0.0881249057263807,0,7683,114.621,-0.0876404231947279,0.0259005063836146,0.000499615170250142
0.14,-0.0818129159840162,0.0289862559510912,0.00131618620087478,0.992904783382248,-0.000165275017290547,-0.0429691914711634,0.993834134850915,0.0881249057263807,0,7683,114.621,-0.0818129159840162,0.0289862559510912,0.00131618620087478
0.14,-0.0816312923855884,0.0408768005679074,0.0016277333807466,0.975392438894074,0.0873031857576312,-0.0572473007646688,0.980963561779948,0.0346256240406524,0,7683,114.621,-0.0816312923855884,0.0408768005679074,0.0016277333807466
0.14,-0.0839711033168041,0.0332275941867152,0.00127499845244891,0.968753345475535,-0.0728866347765183,-0.095584047543734,0.976182265790528,0.0346256240406524,0,7683,114.621,-0.0839711033168041,0.0332275941867152,0.00127499845244891
0.14,-0.0850601760164955,0.0298774162478623,0.004248584431116,0.949738134196594,-0.0144904694426138,-0.184393529068148,0.967581247655256,0.0881249057263807,0,7683,114.621,-0.0850601760164955,0.0298774162478623,0.004248584431116
0.14,-0.0863890868807883,0.0352898717427947,0.000500108878588252,0.745358138160968,0.0243450334295915,0.00699762188587033,0.745788442849264,0.0346256240406524,0,7683,114.621,-0.0863890868807883,0.0352898717427947,0.000500108878588252
0.14,-0.0839986213038842,0.0393769581796075,0.000500080886248869,0.821008888751753,0.0030587947841032,-0.000343599752854987,0.821014658636318,0.0346256240406524,0,7683,114.621,-0.0839986213038842,0.0393769581796075,0.000500080886248869
0.14,-0.0833145998402855,0.0403954075481795,0.00257848641894551,0.948100551406119,0.071832554016724,-0.115680185164469,0.957829043531693,0.0346256240406524,0,7683,114.621,-0.0833145998402855,0.0403954075481795,0.00257848641894551
0.14,-0.0830424833958038,0.0353597244814835,0.00302669054431149,0.974157339375902,-0.0209629665610364,-0.129677117071615,0.982974120981311,0.0346256240406524,0,7683,114.621,-0.0830424833958038,0.0353597244814835,0.00302669054431149
