"Time (s)","Parcel Centroid[X] (m)","Parcel Centroid[Y] (m)","Parcel Centroid[Z] (m)","Particle Velocity[i] (m/s)","Particle Velocity[j] (m/s)","Particle Velocity[k] (m/s)","Particle Velocity: Magnitude (m/s)","Volume Fraction of Phase 1","Wall Shear Stress: Magnitude (Pa)","Report: Element Count 1","Report: Total Solver CPU Time (s)","X (m)","Y (m)","Z (m)"
0.04,-0.109638773264316,0.0325401706177619,0.0135908167045185,0.61668743852744,6.37420316122488e-05,-0.20800970078763,0.650823660081855,0.0207860439024169,0,2209,15.213,-0.109638773264316,0.0325401706177619,0.0135908167045185
0.04,-0.109642410635464,0.0256513612821706,0.00663427892326362,0.616046381191753,2.1807651514608e-06,-0.20805662027583,0.650231267338638,0.0157256144521008,0,2209,15.213,-0.109642410635464,0.0256513612821706,0.00663427892326362
0.04,-0.10964376207214,0.0248669943239832,0.0168464004302706,0.616518359081495,0.000142438137804041,-0.20845907370553,0.650807262392892,0.0207860439024169,0,2209,15.213,-0.10964376207214,0.0248669943239832,0.0168464004302706
0.04,-0.109636593403503,0.0386664999059727,0.00705282114576278,0.617341499169822,-0.000460451444447519,-0.207003493110153,0.651123018156001,0.0664506381017285,0,2209,15.213,-0.109636593403503,0.0386664999059727,0.00705282114576278
0.04,-0.109643546344495,0.026663455198342,0.0122443799698732,0.616525017689028,9.32572882091363e-05,-0.208384322124194,0.650789621798426,0.0207860439024169,0,2209,15.213,-0.109643546344495,0.026663455198342,0.0122443799698732
0.04,-0.1096437689436,0.0247561687076709,0.0140221919589686,0.616497646707672,0.000120403167981023,-0.208493696696034,0.650798728068055,0.0207860439024169,0,2209,15.213,-0.1096437689436,0.0247561687076709,0.0140221919589686
0.04,-0.109510277593857,0.0370743259673212,0.00171279970111946,0.681403599222189,0.021538410246683,-0.087220087001193,0.687300597792119,0.0664506381017285,0,2209,15.213,-0.109510277593857,0.0370743259673212,0.00171279970111946
0.04,-0.109647700439381,0.0274291488441816,0.00744066719357984,0.616407569881139,4.88752340489584e-05,-0.208248239106237,0.650634785180141,0.0157256144521008,0,2209,15.213,-0.109647700439381,0.0274291488441816,0.00744066719357984
0.04,-0.109645437617012,0.04052989132639,0.0100120545268087,0.616882497314208,-0.000267411631524555,-0.206591824376465,0.650556891363692,0.0664506381017285,0,2209,15.213,-0.109645437617012,0.04052989132639,0.0100120545268087
0.04,-0.109647422291379,0.0291782824925886,0.0181889632080133,0.616577697537493,0.000124530576062106,-0.208099801885491,0.650748492240498,0.0207860439024169,0,2209,15.213,-0.109647422291379,0.0291782824925886,0.0181889632080133
